17.4496, 2
85.6377, 6
97.6377, 6
134.558, 6
159.04, 10
187.997, 9
198.833, 4
222.681, 4
226.989, 10
245.775, 7
285.76, 7
298.802, 3
327.018, 9
352.174, 5
364.174, 6
402.403, 8
418.403, 6
428.403, 5
442.279, 3
450.279, 8
491.447, 2
509.216, 7
529.216, 7
574.521, 1
602.521, 9
630.521, 1
646.521, 2
650.521, 3
660.521, 7
670.521, 3
690.521, 5
712.521, 4
714.521, 3
722.521, 2
732.521, 4
752.414, 7
769.919, 7
786.018, 5
800.018, 5
806.018, 2
818.018, 3
826.018, 2
840.018, 3
850.369, 6
874.369, 1
888.369, 2
902.369, 4
916.369, 1
932.369, 3
942.369, 5
946.369, 1
960.369, 7
984.369, 9
988.369, 4
998.369, 4
1013.65, 6
1025.99, 9
1076.8, 1
1110.75, 8
1132.75, 9
1168.3, 4
1202.73, 5
1214.7, 5
1229.82, 8
1245.82, 4
1264.09, 4
1278.32, 9
1310.97, 9
1326.16, 3
1352.16, 1
1370.16, 10
1390.16, 4
1414.16, 8
1434.16, 10
1448.16, 3
1464.16, 9
1482.16, 1
1502.16, 6
1524.16, 9
1530.16, 4
1552.16, 4
1576.2, 8
1604.86, 3
1618.86, 4
1635.25, 1
1646.56, 10
1664.56, 7
1672.29, 3
1702.12, 7
1716.12, 3
1730.69, 4
1737.06, 10
1749.06, 3
1769.06, 4
1771.06, 3
1781.06, 2
1785.06, 10
1803.06, 10
1809.67, 5
1849.85, 10
1867.85, 1
1885.85, 5
1895.85, 7
1921.35, 4
1933.35, 1
1945.35, 8
1969.35, 2
1989.35, 9
