1.12706s
3.15826s
62.5369s
66.7775s
79.7707s
85.6021s
92.0818s
118.456s
119.509s
125.197s
127.197s
133.612s
136.841s
143.856s
153.815s
159.815s
166.803s
176.159s
181.111s
185.804s
191.804s
195.042s
195.797s
199.797s
201.797s
207.886s
208.155s
214.447s
220.447s
225.299s
227.299s
230.668s
264.062s
270.062s
280.15s
284.082s
297.483s
311.749s
313.749s
317.083s
319.93s
320.15s
324.369s
325.304s
337.124s
342.717s
349.399s
359.888s
365.888s
373.332s
389.118s
394.584s
414.482s
416.745s
417.772s
421.772s
440.612s
449.814s
452.07s
459.279s
482.332s
501.284s
503.284s
505.815s
508.997s
516.651s
529.017s
532.658s
541.168s
547.759s
570.698s
572.742s
574.698s
578.698s
578.698s
584.675s
592.427s
611.73s
613.767s
618.738s
643.214s
647.318s
655.318s
668.363s
677.05s
709.218s
718.053s
743.08s
751.388s
752.751s
763.064s
770.249s
772.249s
783.883s
785.06s
791.683s
801.646s
814.73s
840.441s
841.644s
848.441s
852.441s
852.584s
860.69s
907.071s
915.666s
926.111s
927.03s
932.205s
936.205s
936.205s
952.918s
957.118s
961.118s
977.343s
983.042s
993.347s
997.661s
1009.12s
1013.25s
1021.25s
1028.56s
1029.68s
1034.56s
1043.69s
1049.51s
1058.55s
1073.74s
1079.74s
1081.74s
1086.49s
1092.67s
1106.82s
1123.41s
1136.43s
1137.61s
1169.41s
1187.54s
1188.49s
1195.54s
1195.54s
1200.67s
1215.18s
1246.8s
1278.24s
1284.24s
1290.24s
1300.39s
1312.8s
1314.46s
1319.7s
1326.24s
1330.24s
1332.04s
1336.24s
1362.95s
1378.63s
1383.82s
1399.82s
1409.82s
1413.61s
1444.25s
1448.25s
1452.66s
1465.2s
1471.2s
1472.68s
1475.33s
1490.78s
1518.18s
1520.94s
1522.24s
1530.24s
1534.24s
1534.73s
1536.24s
1547.66s
1551.86s
1553.43s
1561.83s
1565.23s
1588.44s
1601.77s
1608.85s
1612.85s
1623.69s
1623.76s
1644.34s
1646.48s
1663.21s
1669.3s
1688.93s
1695.01s
1701.22s
1705.22s
1709.22s
1715s
1720.52s
1742.29s
1749.65s
1760.69s
1762.78s
1766.78s
1770.48s
1774.48s
1782.48s
1786.89s
1788.89s
1797.37s
1801.5s
1803.82s
1810.29s
1811.71s
1837.44s
1837.59s
1849.42s
1867.2s
1885.94s
1897.94s
1899.94s
1909.88s
1924.53s
1928.53s
1930.18s
1932.76s
1950.65s
1977.45s
1978.97s
2005.4s
2011.76s
2015.3s
2028.27s
2051.88s
2059.88s
2059.88s
2070.77s
2074.77s
2074.77s
2083.71s
2085.71s
2100.06s
2104.74s
2106.74s
2113.69s
2117.69s
2120.54s
2125.46s
2149.42s
2173.38s
2176.77s
2179.4s
2197.99s
2208.52s
2212.04s
2222.1s
2247.68s
2262.94s
2263.47s
2298.41s
2319.41s
2323.95s
2344.13s
2349.97s
2362.93s
2378.93s
2380.93s
2383.92s
2384.93s
2385.92s
2393.7s
2401.85s
2431.56s
2434.19s
2459.05s
2464.91s
2475.34s
2479.34s
2505.39s
2507.64s
2510.41s
2523.85s
2542.69s
2586.62s
2597.82s
2602.67s
2606.67s
2627.26s
2645.11s
2647.11s
2648.24s
2660.36s
2663.1s
2664.77s
2698.19s
2704.19s
2706.06s
2708.43s
2712.06s
2714.75s
2714.97s
2726.49s
2730.67s
2737.95s
2755.2s
2762.07s
2812.42s
2835.61s
2842.77s
2853.59s
2869.72s
2871.98s
2877.22s
2896.83s
2897.29s
2904.29s
2906.96s
2911.58s
2915.58s
2922.6s
2938.67s
2962.19s
2963.65s
2985.94s
2999.39s
3013.15s
3026.94s
3029.83s
3033.31s
3038.88s
3039.67s
3046.21s
3055.72s
3059.72s
3077.06s
3081.06s
3085.06s
3086.91s
3100.68s
3107.4s
3115.4s
3117.22s
3125.22s
3131.71s
3137.71s
3139.34s
3141.34s
3167.37s
3197.21s
3200.13s
3213.32s
3237.81s
3244.6s
3253.75s
3259.79s
3262.5s
3268.33s
3281.8s
3294.5s
3297.2s
3310.02s
3314.13s
3314.81s
3329.81s
3354.87s
3355.76s
3398.74s
3402.97s
3423.73s
3433.38s
3446.7s
3448.7s
3458.67s
3464.97s
3468.55s
3474.55s
3492.16s
3501.76s
3514.38s
3524.65s
3526.67s
3558.34s
3562.97s
3568.34s
3576.34s
3587.57s
3591.97s
3597.99s
3598.25s
3600.25s
3602.25s
3603.98s
3617.77s
3618.82s
3634.59s
3636.46s
3642.46s
3654.54s
3656.54s
3658.54s
3673.09s
3676.9s
3691.46s
3691.59s
3700.59s
3713.75s
3713.82s
3718.24s
3721.14s
3733.4s
3757.99s
3783.09s
3791.09s
3791.09s
3795.09s
3799.02s
3808.2s
3811.02s
3818.75s
3825.33s
3829.33s
3840.28s
3858.25s
3858.26s
3862.25s
3864.25s
3872.66s
3875.99s
3883.38s
3906.85s
3909.21s
3914.01s
3919.06s
3931.53s
3946.07s
3957.18s
3965.01s
4004.74s
4014.37s
4016.37s
4018.37s
4024.6s
4026.6s
4027.64s
4032.6s
4034.13s
4052.48s
4054.48s
4091.14s
4101.48s
4103.85s
4108.09s
4112.09s
4112.45s
4131.84s
4147.78s
4149.45s
4154.17s
4162.36s
4170.73s
4180.83s
4197.96s
4211.14s
4219.42s
4221.27s
4223.42s
4243.27s
4250.33s
4268.87s
4274.27s
4276.78s
4280.93s
4284.86s
4295.22s
4297.78s
4303.45s
4316.97s
4320.66s
4335.26s
4350.35s
4354.83s
4362.15s
4370.29s
4372.55s
4376.29s
4379.36s
4384.09s
4400.22s
4404.22s
4418.11s
4435.48s
4437.48s
4437.65s
4445.14s
4451.04s
4457.18s
4460.61s
4464.63s
4466.63s
4485.53s
4486.3s
4489.53s
4492.55s
4498.55s
4502.55s
4510.32s
4511.75s
4516.32s
4519.27s
4521.43s
4523.27s
4548.98s
4550.71s
4554.71s
4557.37s
4588.95s
4594.95s
4602.95s
4602.95s
4608.95s
4614.92s
4619.46s
4629.72s
4648.9s
4668.25s
4674.21s
4693.16s
4697.16s
4710.8s
4719.32s
4726.77s
4729.29s
4732.21s
4736.21s
4738.21s
4740.13s
4740.21s
4742.13s
4748.55s
4749.39s
4753.55s
4758.65s
4761.57s
4775.93s
4777.93s
4780.29s
4786.37s
4792.96s
4812.4s
4818.68s
4823.67s
4829.04s
4837.57s
4850.25s
4856.59s
4863.53s
4868.68s
4876.43s
4884.6s
4893.87s
4896.52s
4910.05s
4915.63s
4919.87s
4935.51s
4939.51s
4945.51s
4945.73s
4949.51s
4959.51s
4961.51s
4963.51s
4963.74s
4963.74s
4965.74s
4975.74s
4983.74s
4989.91s
5000.26s
5007.74s
5011.74s
5015.74s
5015.76s
5032.75s
5043.79s
5055.65s
5059.35s
5069.14s
5079.31s
5088.24s
5090.24s
5092.24s
5095.92s
5096.3s
5098.3s
5103.56s
5104.38s
5107.87s
5111.99s
5115.95s
5119.95s
5121.95s
5121.95s
5129.36s
5137.76s
5145.22s
5147.05s
5149.22s
5159.26s
5166.55s
5166.79s
5187.5s
5191.17s
5192.41s
5200.41s
5204.41s
5214.41s
5214.41s
5216.41s
